sample_id,dataset,raw_log,normalized_log,label_str,final_pred,semantic_judgment,conflict_type,reason,verifier_action
bgl_3162,bgl,1118766788 2005.06.14 R25-M0-NA-C:J09-U01 2005-06-14-09.33.08.072675 R25-M0-NA-C:J09-U01 RAS KERNEL FATAL data storage interrupt,<NUM> <NUM>.<NUM>.<NUM> R25-M0-NA-C:J09-U01 <DATETIME>-<NUM>.<NUM>.<NUM>.<NUM> R25-M0-NA-C:J09-U01 RAS KERNEL FATAL data storage interrupt,abnormal,abnormal,normal,ambiguous_event_needing_context,Explicit fatal signal related to data storage interrupt indicates potential system-level failure.,keep
bgl_1145,bgl,1118545981 2005.06.11 R30-M0-N9-C:J16-U01 2005-06-11-20.13.01.954538 R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,<NUM> <NUM>.<NUM>.<NUM> R30-M0-N9-C:J16-U01 <DATETIME>-<NUM>.<NUM>.<NUM>.<NUM> R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,abnormal,abnormal,normal,ambiguous_event_needing_context,System-level failure evidence: fatal data TLB error interrupt.,keep
bgl_4396,bgl,1118546895 2005.06.11 R30-M0-N9-C:J16-U01 2005-06-11-20.28.15.654265 R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,<NUM> <NUM>.<NUM>.<NUM> R30-M0-N9-C:J16-U01 <DATETIME>-<NUM>.<NUM>.<NUM>.<NUM> R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,abnormal,abnormal,normal,ambiguous_event_needing_context,System-level failure evidence: fatal data TLB error interrupt.,keep
bgl_4258,bgl,1118765420 2005.06.14 R07-M0-NF-C:J02-U11 2005-06-14-09.10.20.087849 R07-M0-NF-C:J02-U11 RAS KERNEL FATAL data storage interrupt,<NUM> <NUM>.<NUM>.<NUM> R07-M0-NF-C:J02-U11 <DATETIME>-<NUM>.<NUM>.<NUM>.<NUM> R07-M0-NF-C:J02-U11 RAS KERNEL FATAL data storage interrupt,abnormal,abnormal,normal,ambiguous_event_needing_context,Explicit fatal signal related to data storage interrupt indicates system-level failure.,keep
bgl_24,bgl,1118549574 2005.06.11 R30-M0-N9-C:J16-U01 2005-06-11-21.12.54.773777 R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,<NUM> <NUM>.<NUM>.<NUM> R30-M0-N9-C:J16-U01 <DATETIME>-<NUM>.<NUM>.<NUM>.<NUM> R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,abnormal,abnormal,normal,ambiguous_event_needing_context,System-level failure evidence: fatal data TLB error interrupt indicates critical kernel issue.,keep
bgl_3025,bgl,"1132614017 2005.11.21 R73-M1-N0-I:J18-U01 2005-11-21-15.00.17.491744 R73-M1-N0-I:J18-U01 RAS APP FATAL ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43689, Connection timed out","<NUM> <NUM>.<NUM>.<NUM> R73-M1-N0-I:J18-U01 <DATETIME>-<NUM>.<NUM>.<NUM>.<NUM> R73-M1-N0-I:J18-U01 RAS APP FATAL ciod: Error reading message prefix on CioStream socket to <IP>:<NUM>, Connection timed out",abnormal,normal,normal,app_level_abnormal_but_labeled_abnormal,System-level fatal signal indicating an error reading message prefix on CioStream socket due to a connection timeout.,ambiguous_without_system_evidence_flip_to_normal
bgl_4063,bgl,1118555790 2005.06.11 R30-M0-N9-C:J16-U01 2005-06-11-22.56.30.670899 R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,<NUM> <NUM>.<NUM>.<NUM> R30-M0-N9-C:J16-U01 <DATETIME>-<NUM>.<NUM>.<NUM>.<NUM> R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,abnormal,abnormal,normal,ambiguous_event_needing_context,System-level failure evidence: fatal data TLB error interrupt indicates a critical kernel issue.,keep
bgl_3822,bgl,1118540381 2005.06.11 R30-M0-N9-C:J16-U01 2005-06-11-18.39.41.897466 R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,<NUM> <NUM>.<NUM>.<NUM> R30-M0-N9-C:J16-U01 <DATETIME>-<NUM>.<NUM>.<NUM>.<NUM> R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,abnormal,abnormal,normal,ambiguous_event_needing_context,System-level failure evidence: fatal data TLB error interrupt indicates a critical kernel issue.,keep
bgl_531,bgl,1118709520 2005.06.13 R14-M1-NF-C:J04-U11 2005-06-13-17.38.40.770467 R14-M1-NF-C:J04-U11 RAS KERNEL FATAL data storage interrupt,<NUM> <NUM>.<NUM>.<NUM> R14-M1-NF-C:J04-U11 <DATETIME>-<NUM>.<NUM>.<NUM>.<NUM> R14-M1-NF-C:J04-U11 RAS KERNEL FATAL data storage interrupt,abnormal,abnormal,normal,ambiguous_event_needing_context,Explicit fatal signal related to data storage interrupt indicates a system-level failure.,keep
bgl_2019,bgl,1132575798 2005.11.21 R04-M1-N0-I:J18-U11 2005-11-21-04.23.18.278892 R04-M1-N0-I:J18-U11 RAS KERNEL FATAL Lustre mount FAILED : bglio69 : block_id : location,<NUM> <NUM>.<NUM>.<NUM> R04-M1-N0-I:J18-U11 <DATETIME>-<NUM>.<NUM>.<NUM>.<NUM> R04-M1-N0-I:J18-U11 RAS KERNEL FATAL Lustre mount FAILED : bglio69 : block_id : location,abnormal,abnormal,normal,ambiguous_event_needing_context,System-level failure signal: fatal kernel error indicating Lustre mount failed.,keep
bgl_3830,bgl,1125694320 2005.09.02 R16-M0-NC-I:J18-U11 2005-09-02-13.52.00.458589 R16-M0-NC-I:J18-U11 RAS KERNEL FATAL Lustre mount FAILED : bglio235 : point /p/gb1,<NUM> <NUM>.<NUM>.<NUM> R16-M0-NC-I:J18-U11 <DATETIME>-<NUM>.<NUM>.<NUM>.<NUM> R16-M0-NC-I:J18-U11 RAS KERNEL FATAL Lustre mount FAILED : bglio235 : point <PATH>,abnormal,abnormal,normal,ambiguous_event_needing_context,System-level failure signal: fatal kernel error indicating Lustre mount failed.,keep
